App,State ID,LWIA,Office,Program_Name,Case_Manager,Create_Date,Exit_Date,Exit Reason,2020Q1,2020Q2,2020Q3,2020Q4
999842,141492,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,8/7/2020,3/16/2020,Successful Completion Employed,8292,15804,14082,15846
999868,408300,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,3/2/2020,3/2/2020,Successful Completion Employed,11131,15161,13394,11694
1004759,414328,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,2/28/2020,2/28/2020,Successful Completion Employed,7347,10578,12448,12308
1004941,506709,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,8/7/2020,3/29/2020,Successful Completion Employed,6612,12062,15344,15344
1005865,183472,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,8/7/2020,3/14/2020,Successful Completion Employed,6589,673,,
1005930,231570,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,8/7/2020,3/9/2020,Successful Completion Employed,6061,7594,4594,2660
1126631,480879,District of Columbia,Project Empowerment,"L.E.A.P. (Learn, Earn, Advance, Prosper)",Not Assigned,8/10/2020,10/29/2019,Successful Completion Employed,,,,346
